sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
RX022Marsh22,RX022Marsh22,Rain,Sample,22,Water_2,8.9275,51.8,0.25,12.95,Marshall B1,7/31/2018,8/3/2018,Marsh22,NA,75,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,3,1,G,3
RX016Marsh16,RX016Marsh16,Rain,Sample,16,Water_2,5.7136,45.6,0.25,11.4,Marshall B2,7/31/2018,8/3/2018,Marsh16,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,3,1,A,3
RX009Marsh9,RX009Marsh9,Rain,Sample,9,Water_2,3.9281,9.22,1,9.22,Marshall B3,7/31/2018,8/3/2018,Marsh9,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,3,1,A,2
RX046Marsh46,RX046Marsh46,Rain,Sample,46,Water_2,0.3571,22.4,0.5,11.2,Marshall B4,7/31/2018,8/3/2018,Marsh46,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,3,1,H,6
RX084Marsh84,RX084Marsh84,Rain,Sample,84,Water_1,9.10605,27.6,0.5,13.8,Marshall B1,8/6/2018,8/6/2018,Marsh84,NA,350,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,0,1,H,11
RX106Marsh106,RX106Marsh106,Rain,Sample,106,Water_3,2.5919,8.5,1,8.5,Marshall B1,8/3/2018,8/6/2018,Marsh106,NA,350,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,3,2,F,2
RX069Marsh69,RX069Marsh69,Rain,Sample,69,Water_1,7.8562,0.48,1,0.48,Marshall B2,8/6/2018,8/6/2018,Marsh69,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,0,1,H,9
RX112Marsh112,RX112Marsh112,Rain,Sample,112,Water_3,2.602825,5.04,1,5.04,Marshall B2,8/3/2018,8/6/2018,Marsh112,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,3,2,D,3
RX092Marsh92,RX092Marsh92,Rain,Sample,92,Water_1,5.3565,0.618,1,0.618,Marshall B3,8/3/2018,8/6/2018,Marsh92,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,3,1,H,12
RX103Marsh103,RX103Marsh103,Rain,Sample,103,Water_3,3.8175,0.1,1,0.1,Marshall B3,8/6/2018,8/6/2018,Marsh103,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,0,2,C,2
RX094Marsh94,RX094Marsh94,Rain,Sample,94,Water_1,2.7763,0.092,1,0.092,Marshall B4,8/3/2018,8/6/2018,Marsh94,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,3,2,B,1
RX073Marsh73,RX073Marsh73,Rain,Sample,73,Water_1,5.7136,5.24,1,5.24,Marshall B1,8/6/2018,8/8/2018,Marsh73,NA,350,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,2,1,D,10
RX097Marsh97,RX097Marsh97,Rain,Sample,97,Water_1,2.5417,0.542,1,0.542,Marshall B2,8/6/2018,8/8/2018,Marsh97,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,2,2,E,1
RX076Marsh76,RX076Marsh76,Rain,Sample,76,Water_1,3.9281,0.226,1,0.226,Marshall B3,8/6/2018,8/8/2018,Marsh76,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,2,1,G,10
RX093Marsh93,RX093Marsh93,Rain,Sample,93,Water_1,3.117625,0.464,1,0.464,Marshall B4,8/6/2018,8/8/2018,Marsh93,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,2,2,A,1
Leaf19,Leaf19,Leaf,Sample,19,Plant_1,2.7611,NA,NA,NA,Petri S2 B1,7/21/2018,8/14/2018,S2B1_43302,0.0393,NA,Marshall,Petri,B1,B1,Sterile_rain,S2,639046.075,4700603.84,24,2,A,7
