OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu235	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula nothofagi
Zotu236	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu237	Fungi						
Zotu238	Fungi	Ascomycota	Sordariomycetes				
Zotu239							
Zotu240	Fungi	Ascomycota	Sordariomycetes				
Zotu241	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu242	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia sp 
Zotu243	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Zotu244	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu245	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon flaviporus
Zotu246	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae		
Zotu247	Fungi						
Zotu248	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu249	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
Zotu250	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella zeae
Zotu251	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Incertae_sedis	Sistotrema	Sistotrema sernanderi
Zotu252	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu253	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu254	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	
Zotu255	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu256	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Zotu257	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella kunmingensis
Zotu258							
Zotu259	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus pulmonarius
Zotu260	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
Zotu262	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu263	Fungi						
Zotu264	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
Zotu265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu266	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella zeae
Zotu267	Fungi						
Zotu268	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu269	Fungi	Basidiomycota	Cystobasidiomycetes	Incertae_sedis	Symmetrosporaceae	Symmetrospora	
Zotu270	Fungi	Ascomycota	Sordariomycetes				
Zotu271	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia glandulosa
Zotu272	Fungi						
Zotu273	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans
Zotu274	Viridiplantae	Chlorophyta	Chlorophyceae	Volvocales	Chlamydomonadaceae		
Zotu275	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
Zotu276	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	
Zotu277	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	
Zotu278	Fungi						
Zotu279	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella zeae
Zotu280	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta desmazieri
Zotu281	Fungi						
Zotu282	Fungi	Ascomycota	Dothideomycetes				
Zotu283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	
Zotu286	Fungi	Ascomycota	Dothideomycetes				
